vendor_id,vendor_name,contact_person,email,phone,city,state,rating,status,created_at
VEND-0001,Prime Supplies 591,Susan Brown,contact12@primesupplies591.com,(995) 729-6047,Austin,TX,2.6,inactive,2024-10-27
VEND-0002,Pioneer Supplies 21,Charles Davis,contact373@pioneersupplies21.com,(621) 970-8018,Los Angeles,CA,3.3,active,2023-08-22
VEND-0003,Summit Supplies 455,Thomas Wilson,contact607@summitsupplies455.com,(721) 451-4461,New York,NY,3.5,suspended,2024-03-26
VEND-0004,Summit Supplies 23,Susan Gonzalez,contact483@summitsupplies23.com,(917) 323-9978,Phoenix,AZ,3.0,active,2024-03-06
VEND-0005,Pioneer Supplies 910,Jessica Thomas,contact934@pioneersupplies910.com,(788) 857-5607,Oklahoma City,OK,2.7,active,2025-02-28
VEND-0006,Everest Supplies 521,Mary Taylor,contact442@everestsupplies521.com,(536) 423-9231,Oklahoma City,OK,3.3,suspended,2025-04-07
VEND-0007,Global Supplies 397,Donald Harris,contact211@globalsupplies397.com,(786) 624-4348,San Jose,CA,4.2,active,2024-12-14
VEND-0008,Everest Supplies 410,James White,contact865@everestsupplies410.com,(522) 852-6286,New York,NY,4.6,suspended,2023-11-06
VEND-0009,Prime Supplies 143,Susan Brown,contact712@primesupplies143.com,(666) 260-5298,Boston,MA,4.6,inactive,2025-02-22
VEND-0010,Acme Supplies 559,Jessica Gonzalez,contact700@acmesupplies559.com,(940) 653-1487,Columbus,OH,3.5,active,2025-05-09
VEND-0011,Global Supplies 781,Robert Gonzalez,contact782@globalsupplies781.com,(366) 791-1242,San Francisco,CA,3.0,suspended,2024-08-18
VEND-0012,Prime Supplies 786,Susan Taylor,contact860@primesupplies786.com,(830) 282-9790,Philadelphia,PA,3.7,suspended,2023-06-07
VEND-0013,Pioneer Supplies 720,Christopher Lewis,contact788@pioneersupplies720.com,(408) 991-4823,Charlotte,NC,2.7,suspended,2025-07-25
VEND-0014,Global Supplies 547,Anthony Clark,contact851@globalsupplies547.com,(515) 825-5299,Philadelphia,PA,3.5,inactive,2023-06-11
VEND-0015,Global Supplies 212,Jennifer Thompson,contact606@globalsupplies212.com,(748) 903-4840,Chicago,IL,4.2,active,2025-09-07
VEND-0016,Liberty Supplies 310,Patricia Lee,contact616@libertysupplies310.com,(908) 219-2850,San Jose,CA,3.4,suspended,2024-09-17
VEND-0017,Pioneer Supplies 461,James Gonzalez,contact614@pioneersupplies461.com,(383) 265-6570,Seattle,WA,3.6,active,2024-01-12
VEND-0018,Apex Supplies 622,Steven Garcia,contact982@apexsupplies622.com,(478) 437-9398,Detroit,MI,4.4,suspended,2025-03-16
VEND-0019,Summit Supplies 832,John Thompson,contact151@summitsupplies832.com,(910) 894-2234,Charlotte,NC,4.3,active,2024-02-29
VEND-0020,Everest Supplies 515,Jessica Smith,contact396@everestsupplies515.com,(849) 585-5441,El Paso,TX,3.1,active,2023-12-18
VEND-0021,Global Supplies 106,Matthew Lee,contact872@globalsupplies106.com,(458) 990-3325,Boston,MA,3.8,inactive,2023-01-02
VEND-0022,Summit Supplies 963,Mark Harris,contact48@summitsupplies963.com,(317) 687-1891,Washington,DC,4.9,inactive,2024-10-07
VEND-0023,Apex Supplies 44,Mark Lewis,contact50@apexsupplies44.com,(408) 231-9407,Boston,MA,3.8,suspended,2024-10-17
VEND-0024,Acme Supplies 466,David Gonzalez,contact154@acmesupplies466.com,(741) 369-7793,Seattle,WA,2.9,inactive,2025-05-02
VEND-0025,Apex Supplies 863,Steven Hernandez,contact771@apexsupplies863.com,(230) 876-1315,Charlotte,NC,2.9,suspended,2024-11-06
VEND-0026,Liberty Supplies 975,Andrew Garcia,contact657@libertysupplies975.com,(862) 678-5515,Chicago,IL,2.7,suspended,2023-01-03
VEND-0027,Pioneer Supplies 960,Andrew Perez,contact116@pioneersupplies960.com,(936) 814-7305,Houston,TX,2.9,inactive,2024-02-20
VEND-0028,Pioneer Supplies 136,James Moore,contact34@pioneersupplies136.com,(743) 336-1274,San Diego,CA,4.1,inactive,2023-02-28
VEND-0029,Prime Supplies 945,Anthony Miller,contact689@primesupplies945.com,(470) 487-5412,San Antonio,TX,3.3,suspended,2024-01-26
VEND-0030,Prime Supplies 658,Thomas Hernandez,contact535@primesupplies658.com,(896) 696-1096,Chicago,IL,2.9,suspended,2025-02-03
VEND-0031,Apex Supplies 830,Patricia Perez,contact147@apexsupplies830.com,(505) 366-7126,San Antonio,TX,3.5,active,2024-08-22
VEND-0032,Acme Supplies 962,Karen Jones,contact980@acmesupplies962.com,(428) 669-6967,San Diego,CA,2.5,suspended,2025-07-20
VEND-0033,Apex Supplies 584,Mark Gonzalez,contact843@apexsupplies584.com,(921) 260-5094,Washington,DC,3.4,inactive,2023-01-01
VEND-0034,Prime Supplies 941,Elizabeth Martinez,contact249@primesupplies941.com,(584) 525-3178,Oklahoma City,OK,4.7,inactive,2023-02-13
VEND-0035,Liberty Supplies 364,Joseph Thompson,contact783@libertysupplies364.com,(635) 461-9212,Oklahoma City,OK,2.7,suspended,2025-04-14
VEND-0036,Everest Supplies 809,Daniel Harris,contact965@everestsupplies809.com,(485) 895-1266,San Diego,CA,4.7,suspended,2023-10-06
VEND-0037,Prime Supplies 122,Daniel Ramirez,contact735@primesupplies122.com,(783) 662-9165,San Diego,CA,3.8,inactive,2025-08-19
VEND-0038,Pioneer Supplies 421,William Miller,contact984@pioneersupplies421.com,(330) 436-8010,Los Angeles,CA,3.5,inactive,2024-09-10
VEND-0039,Pioneer Supplies 291,Andrew Williams,contact133@pioneersupplies291.com,(581) 795-6085,Denver,CO,4.5,suspended,2025-07-15
VEND-0040,Prime Supplies 139,Linda Johnson,contact975@primesupplies139.com,(462) 390-9592,Fort Worth,TX,3.0,inactive,2024-07-31
VEND-0041,Prime Supplies 12,Matthew Wilson,contact408@primesupplies12.com,(274) 664-7687,Philadelphia,PA,3.0,inactive,2024-01-22
VEND-0042,Prime Supplies 603,Karen White,contact618@primesupplies603.com,(951) 761-5062,San Antonio,TX,3.3,suspended,2025-01-22
VEND-0043,Everest Supplies 886,Matthew Moore,contact528@everestsupplies886.com,(675) 927-9117,Charlotte,NC,4.0,inactive,2025-07-27
VEND-0044,Pioneer Supplies 13,Charles Brown,contact253@pioneersupplies13.com,(460) 737-3828,Los Angeles,CA,3.8,inactive,2025-07-05
VEND-0045,Summit Supplies 98,Christopher Miller,contact618@summitsupplies98.com,(740) 963-4106,Oklahoma City,OK,4.0,active,2023-05-10
